127.0.0.1 - - [10/Sep/2025:16:06:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Sep/2025:16:06:15 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [10/Sep/2025:16:10:46 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [10/Sep/2025:16:10:46 +0530] "GET /ORSProject-04/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2025:16:11:01 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [10/Sep/2025:16:12:06 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [10/Sep/2025:16:12:08 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [10/Sep/2025:16:12:12 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [10/Sep/2025:16:12:32 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [10/Sep/2025:16:12:34 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [10/Sep/2025:16:13:04 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [10/Sep/2025:16:13:36 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 615
