127.0.0.1 - - [20/Nov/2025:12:46:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:46:57 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:47:02 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:47:28 +0530] "GET /ORSProject-04/LoginCtl HTTP/1.1" 200 3058
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:48:12 +0530] "GET /ORSProject-04/LoginCtl HTTP/1.1" 200 3058
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:55:11 +0530] "POST /ORSProject-04/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:55:11 +0530] "POST /ORSProject-04/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:55:11 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 3575
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:57:21 +0530] "GET /ORSProject-04/ctl/MyProfileCtl HTTP/1.1" 200 8119
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:57:42 +0530] "GET /ORSProject-04/ctl/PatientCtl HTTP/1.1" 200 6053
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/in/co/rays/proj4/model/package-summary.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/jquery/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/jquery/jquery-3.5.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/jquery/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/resources/fonts/dejavu.css HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/module-search-index.zip HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/package-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/type-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/member-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/tag-search-index.zip HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/module-search-index.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/package-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/tag-search-index.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/type-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/member-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/resources/glass.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:12:58:15 +0530] "GET /ORSProject-04/doc/resources/x.png HTTP/1.1" 304 -
